City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Cabo San Lucas,MX,22.8909,-109.9124,90.7,68,0,11.5
278,Vardo,NO,70.3705,31.1107,48.18,87,100,5.75
279,Hauterive,FR,46.0901,3.4459,66.96,96,100,3.13
280,Limoges,FR,45.75,1.3333,64.96,94,75,10.36
281,Hasaki,JP,35.7333,140.8333,75.6,85,100,11.14
282,Moratuwa,LK,6.773,79.8816,82.42,79,100,11.25
283,Egvekinot,RU,66.3167,-179.1667,35.71,98,100,2.59
284,Dombas,NO,62.0696,9.1235,48.22,76,99,3.49
285,Bandarbeyla,SO,9.4942,50.8122,79.27,67,93,29.26
286,Mossendjo,CG,-2.9506,12.7261,61.68,99,13,2.26
287,Del Rio,US,29.3627,-100.8968,96.91,28,0,14.97
288,Kahului,US,20.8947,-156.47,86.02,48,40,23.02
289,Souillac,MU,-20.5167,57.5167,64.78,82,20,5.75
290,Semey,KZ,50.4111,80.2275,73.62,53,0,4.47
291,Bauru,BR,-22.3147,-49.0606,74.34,60,0,4.61
292,Emerald,AU,-23.5333,148.1667,72.34,45,0,12.15
293,Lavrentiya,RU,65.5833,-171.0,42.3,90,100,8.32
294,Lastoursville,GA,-0.8143,12.7287,71.2,97,100,1.68
295,Bengkulu,ID,-3.8004,102.2655,82.38,66,71,2.35
296,Araouane,ML,18.9048,-3.5265,92.17,29,2,12.08
297,Augustow,PL,53.8432,22.9798,51.49,93,44,8.01
298,Sawakin,SD,19.1059,37.3321,83.5,67,49,6.42
299,Sorong,ID,-0.8833,131.25,84.15,71,50,7.27
300,Bredasdorp,ZA,-34.5322,20.0403,56.64,97,99,3.65
301,Corralillo,CU,22.9819,-80.5856,79.09,76,76,9.78
302,Yambio,SS,4.5721,28.3955,65.89,90,13,2.77
303,San Jose De Guanipa,VE,8.8872,-64.1651,75.36,84,78,7.25
304,Taltal,CL,-25.4,-70.4833,53.67,76,0,2.82
305,Huarmey,PE,-10.0681,-78.1522,62.49,83,78,7.67
306,Honningsvag,NO,70.9821,25.9704,44.35,87,100,5.75
307,Jonesboro,US,35.8423,-90.7043,87.62,51,0,5.75
308,Sur,OM,22.5667,59.5289,92.23,53,2,4.65
309,Lakes Entrance,AU,-37.8811,147.981,62.17,62,80,7.54
310,Najran,SA,17.4924,44.1277,77.65,30,87,5.59
311,Berlevag,NO,70.8578,29.0864,48.0,93,100,17.27
312,Saint-Francois,FR,46.4154,3.9054,67.44,94,100,6.91
313,Tautira,PF,-17.7333,-149.15,78.69,74,34,12.88
314,Mananjary,MG,-21.2167,48.3333,64.62,74,28,4.92
315,Povenets,RU,62.8487,34.8262,48.78,74,13,2.71
316,Coahuayana,MX,18.7333,-103.6833,79.7,86,100,2.01
317,Esperance,AU,-33.8667,121.9,65.7,52,44,17.18
318,Gasa,PS,31.5,34.4667,69.87,68,23,12.37
319,Shubarshi,KZ,48.5872,57.1869,77.9,49,85,11.18
320,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,81,100,8.05
321,Fort Nelson,CA,58.8053,-122.7002,67.59,49,75,5.75
322,Akranes,IS,64.3218,-22.0749,46.96,71,40,20.71
323,Bonfim,BR,3.0833,-59.95,74.8,89,100,3.76
324,Sao Raimundo Nonato,BR,-9.0153,-42.6994,76.33,64,98,7.34
325,Le Port,RE,-20.9373,55.2919,67.24,50,12,6.22
326,Arlit,NE,18.7369,7.3853,91.09,20,3,8.97
327,Boyolangu,ID,-8.1181,111.8935,82.0,71,61,10.78
328,Svetlaya,RU,46.5389,138.3297,54.34,98,100,3.4
329,Puerto Madryn,AR,-42.7692,-65.0385,36.36,65,30,10.11
330,Thinadhoo,MV,0.5333,72.9333,84.0,71,100,10.56
331,Mitu,CO,1.1983,-70.1733,70.75,99,91,0.31
332,Meulaboh,ID,4.1363,96.1285,80.47,74,100,3.44
333,Longyearbyen,SJ,78.2186,15.6401,42.64,70,75,16.11
334,Lompoc,US,34.6391,-120.4579,71.01,76,0,9.22
335,Shaowu,CN,27.3409,117.4831,82.13,77,82,4.83
336,Sobolevo,RU,54.4299,31.8996,52.48,96,100,15.43
337,Beloha,MG,-25.1667,45.05,63.16,73,100,10.36
338,Dayong,CN,25.0209,118.2898,90.68,57,96,3.83
339,Muisne,EC,0.6,-80.0333,74.21,88,100,10.54
340,Deputatskiy,RU,69.3,139.9,50.79,63,100,20.94
341,Banyo,CM,6.75,11.8167,62.02,89,96,2.08
342,Makakilo City,US,21.3469,-158.0858,82.72,62,100,18.41
343,Amstetten,AT,48.1229,14.8721,63.19,77,81,1.66
344,Menomonie,US,44.8755,-91.9193,78.82,44,55,4.61
345,Victoria,HK,22.2855,114.1577,87.85,76,95,10.0
346,Luderitz,NA,-26.6481,15.1594,52.97,73,1,5.61
347,Alta Floresta,BR,-9.8756,-56.0861,68.04,54,9,2.04
348,Port Lincoln,AU,-34.7333,135.8667,62.64,73,100,14.81
